subj_id,round_index,block,block_order,select_robot,human_speed_ms,robot_speed_ms,robot_errors_setting,steps_to_complete,round_total_time_ms,round_total_effort,round_total_errors,n_pushes,n_corrections,correction_time_ms,trial,prev_choice_robot,trial_in_block,post_switch,block_switch
10,9,1,"[2, 1]",1,8000,6000,6,4,47432,6,1,0,6,2218.0,9,1.0,1,1,0
10,10,1,"[2, 1]",1,8000,6000,6,4,43812,6,1,0,6,1621.0,10,1.0,2,0,0
10,11,1,"[2, 1]",1,8000,6000,6,4,44376,6,1,0,6,2160.0,11,1.0,3,0,0
10,12,1,"[2, 1]",1,8000,6000,6,4,48106,6,1,0,6,8267.0,12,1.0,4,0,0
10,13,1,"[2, 1]",1,8000,6000,6,4,36350,6,1,0,6,1052.0,13,1.0,5,0,0
10,14,1,"[2, 1]",1,8000,6000,6,4,39958,6,1,0,6,3894.0,14,1.0,6,0,0
10,15,1,"[2, 1]",1,8000,6000,6,4,42216,6,1,0,6,1589.0,15,1.0,7,0,0
10,16,1,"[2, 1]",1,8000,6000,6,4,52080,6,1,0,6,6623.0,16,1.0,8,0,1
11,1,2,"[2, 1]",0,2000,2000,2,12,31443,12,0,12,0,,1,,1,1,0
11,2,2,"[2, 1]",1,2000,2000,2,12,28029,2,1,0,2,1344.0,2,0.0,2,0,0
11,3,2,"[2, 1]",1,2000,2000,2,12,28735,2,1,0,2,1807.0,3,1.0,3,0,0
11,4,2,"[2, 1]",1,2000,2000,2,12,30561,2,1,0,2,4095.0,4,1.0,4,0,0
11,5,2,"[2, 1]",1,2000,2000,2,12,34149,2,1,0,2,7012.0,5,1.0,5,0,0
11,6,2,"[2, 1]",1,2000,2000,2,12,61092,2,1,0,2,2903.0,6,1.0,6,0,0
11,7,2,"[2, 1]",1,2000,2000,2,12,29517,2,1,0,2,1825.0,7,1.0,7,0,0
11,8,2,"[2, 1]",1,2000,2000,2,12,28604,2,1,0,2,2141.0,8,1.0,8,0,1
11,9,1,"[2, 1]",1,8000,6000,6,4,37596,6,1,0,6,1390.0,9,1.0,1,1,0
11,10,1,"[2, 1]",0,8000,6000,6,4,33843,4,0,4,0,,10,1.0,2,0,0
11,11,1,"[2, 1]",1,8000,6000,6,4,34810,6,1,0,6,1685.0,11,0.0,3,0,0
11,12,1,"[2, 1]",1,8000,6000,6,4,31301,6,1,0,6,899.0,12,1.0,4,0,0
11,13,1,"[2, 1]",1,8000,6000,6,4,34922,6,1,0,6,1280.0,13,1.0,5,0,0
11,14,1,"[2, 1]",0,8000,6000,6,4,34172,4,0,4,0,,14,1.0,6,0,0
11,15,1,"[2, 1]",0,8000,6000,6,4,35139,4,0,4,0,,15,0.0,7,0,0
11,16,1,"[2, 1]",1,8000,6000,6,4,32844,6,1,0,6,846.0,16,0.0,8,0,1
12,1,2,"[2, 1]",1,2000,2000,2,12,27721,2,1,0,2,678.0,1,,1,1,0
12,2,2,"[2, 1]",0,2000,2000,2,12,27775,12,0,12,0,,2,1.0,2,0,0
12,3,2,"[2, 1]",1,2000,2000,2,12,26957,2,1,0,2,493.0,3,0.0,3,0,0
12,4,2,"[2, 1]",1,2000,2000,2,12,26866,2,1,0,2,1023.0,4,1.0,4,0,0
12,5,2,"[2, 1]",1,2000,2000,2,12,26249,2,1,0,2,412.0,5,1.0,5,0,0
12,6,2,"[2, 1]",0,2000,2000,2,12,27282,12,0,12,0,,6,1.0,6,0,0
12,7,2,"[2, 1]",1,2000,2000,2,12,26817,2,1,0,2,425.0,7,0.0,7,0,0
12,8,2,"[2, 1]",1,2000,2000,2,12,26984,2,1,0,2,462.0,8,1.0,8,0,1
12,9,1,"[2, 1]",0,8000,6000,6,4,34226,4,0,4,0,,9,1.0,1,1,0
12,10,1,"[2, 1]",1,8000,6000,6,4,32775,6,1,0,6,1026.0,10,0.0,2,0,0
12,11,1,"[2, 1]",1,8000,6000,6,4,33052,6,1,0,6,691.0,11,1.0,3,0,0
12,12,1,"[2, 1]",0,8000,6000,6,4,33439,4,0,4,0,,12,1.0,4,0,0
12,13,1,"[2, 1]",0,8000,6000,6,4,33510,4,0,4,0,,13,0.0,5,0,0
12,14,1,"[2, 1]",0,8000,6000,6,4,33468,4,0,4,0,,14,0.0,6,0,0
12,15,1,"[2, 1]",0,8000,6000,6,4,33980,4,0,4,0,,15,0.0,7,0,0
12,16,1,"[2, 1]",0,8000,6000,6,4,33582,4,0,4,0,,16,0.0,8,0,1
13,1,1,"[1, 2]",0,8000,6000,6,4,35041,4,0,4,0,,1,,1,1,0
13,2,1,"[1, 2]",1,8000,6000,6,4,33867,6,1,0,6,780.0,2,0.0,2,0,0
13,3,1,"[1, 2]",1,8000,6000,6,4,32473,6,1,0,6,908.0,3,1.0,3,0,0
13,4,1,"[1, 2]",1,8000,6000,6,4,32495,6,1,0,6,795.0,4,1.0,4,0,0
13,5,1,"[1, 2]",1,8000,6000,6,4,34463,6,1,0,6,2498.0,5,1.0,5,0,0
13,6,1,"[1, 2]",1,8000,6000,6,4,32419,6,1,0,6,627.0,6,1.0,6,0,0
13,7,1,"[1, 2]",1,8000,6000,6,4,33101,6,1,0,6,789.0,7,1.0,7,0,0
13,8,1,"[1, 2]",1,8000,6000,6,4,31862,6,1,0,6,848.0,8,1.0,8,0,1
13,9,2,"[1, 2]",1,2000,2000,2,12,27372,2,1,0,2,893.0,9,1.0,1,1,0
13,10,2,"[1, 2]",1,2000,2000,2,12,28130,2,1,0,2,888.0,10,1.0,2,0,0
13,11,2,"[1, 2]",1,2000,2000,2,12,27892,2,1,0,2,1255.0,11,1.0,3,0,0
13,12,2,"[1, 2]",1,2000,2000,2,12,27329,2,1,0,2,787.0,12,1.0,4,0,0
13,13,2,"[1, 2]",1,2000,2000,2,12,27343,2,1,0,2,956.0,13,1.0,5,0,0
13,14,2,"[1, 2]",1,2000,2000,2,12,27665,2,1,0,2,963.0,14,1.0,6,0,0
13,15,2,"[1, 2]",1,2000,2000,2,12,27414,2,1,0,2,898.0,15,1.0,7,0,0
13,16,2,"[1, 2]",1,2000,2000,2,12,27363,2,1,0,2,725.0,16,1.0,8,0,1
14,1,2,"[2, 1]",1,2000,2000,2,12,33254,2,1,0,2,1801.0,1,,1,1,0
14,2,2,"[2, 1]",0,2000,2000,2,12,34078,12,0,12,0,,2,1.0,2,0,0
14,3,2,"[2, 1]",1,2000,2000,2,12,29398,2,1,0,2,1429.0,3,0.0,3,0,0
14,4,2,"[2, 1]",1,2000,2000,2,12,28457,2,1,0,2,1391.0,4,1.0,4,0,0
14,5,2,"[2, 1]",1,2000,2000,2,12,28178,2,1,0,2,1285.0,5,1.0,5,0,0
14,6,2,"[2, 1]",1,2000,2000,2,12,28822,2,1,0,2,1194.0,6,1.0,6,0,0
14,7,2,"[2, 1]",1,2000,2000,2,12,28888,2,1,0,2,1724.0,7,1.0,7,0,0
14,8,2,"[2, 1]",1,2000,2000,2,12,28979,2,1,0,2,1789.0,8,1.0,8,0,1
14,9,1,"[2, 1]",1,8000,6000,6,4,41203,6,1,0,6,1787.0,9,1.0,1,1,0
14,10,1,"[2, 1]",0,8000,6000,6,4,39376,4,0,4,0,,10,1.0,2,0,0
14,11,1,"[2, 1]",1,8000,6000,6,4,41282,6,1,0,6,1677.0,11,0.0,3,0,0
14,12,1,"[2, 1]",0,8000,6000,6,4,43996,4,0,4,0,,12,1.0,4,0,0
14,13,1,"[2, 1]",0,8000,6000,6,4,36222,4,0,4,0,,13,0.0,5,0,0
14,14,1,"[2, 1]",1,8000,6000,6,4,39663,6,1,0,6,1263.0,14,0.0,6,0,0
14,15,1,"[2, 1]",1,8000,6000,6,4,36949,6,1,0,6,1050.0,15,1.0,7,0,0
14,16,1,"[2, 1]",0,8000,6000,6,4,35874,4,0,4,0,,16,1.0,8,0,1
15,1,1,"[1, 2]",0,8000,6000,6,4,36823,4,0,4,0,,1,,1,1,0
15,2,1,"[1, 2]",0,8000,6000,6,4,37306,4,0,4,0,,2,0.0,2,0,0
15,3,1,"[1, 2]",0,8000,6000,6,4,35490,4,0,4,0,,3,0.0,3,0,0
15,4,1,"[1, 2]",0,8000,6000,6,4,35160,4,0,4,0,,4,0.0,4,0,0
15,5,1,"[1, 2]",0,8000,6000,6,4,35336,4,0,4,0,,5,0.0,5,0,0
15,6,1,"[1, 2]",0,8000,6000,6,4,35024,4,0,4,0,,6,0.0,6,0,0
15,7,1,"[1, 2]",0,8000,6000,6,4,36288,4,0,4,0,,7,0.0,7,0,0
15,8,1,"[1, 2]",0,8000,6000,6,4,39771,4,0,4,0,,8,0.0,8,0,1
15,9,2,"[1, 2]",0,2000,2000,2,12,35553,12,0,12,0,,9,0.0,1,1,0
15,10,2,"[1, 2]",1,2000,2000,2,12,48289,2,1,0,2,11116.0,10,0.0,2,0,0
15,11,2,"[1, 2]",1,2000,2000,2,12,29775,2,1,0,2,2824.0,11,1.0,3,0,0
15,12,2,"[1, 2]",1,2000,2000,2,12,31626,2,1,0,2,3697.0,12,1.0,4,0,0
15,13,2,"[1, 2]",1,2000,2000,2,12,29970,2,1,0,2,3012.0,13,1.0,5,0,0
15,14,2,"[1, 2]",1,2000,2000,2,12,31287,2,1,0,2,3236.0,14,1.0,6,0,0
15,15,2,"[1, 2]",1,2000,2000,2,12,29217,2,1,0,2,507.0,15,1.0,7,0,0
15,16,2,"[1, 2]",1,2000,2000,2,12,27591,2,1,0,2,895.0,16,1.0,8,0,1
16,1,2,"[2, 1]",1,2000,2000,2,12,31222,2,1,0,2,2106.0,1,,1,1,0
16,2,2,"[2, 1]",1,2000,2000,2,12,32790,2,1,0,2,4973.0,2,1.0,2,0,0
16,3,2,"[2, 1]",1,2000,2000,2,12,30013,2,1,0,2,1965.0,3,1.0,3,0,0
16,4,2,"[2, 1]",0,2000,2000,2,12,32204,12,0,12,0,,4,1.0,4,0,0
16,5,2,"[2, 1]",1,2000,2000,2,12,30022,2,1,0,2,1668.0,5,0.0,5,0,0
16,6,2,"[2, 1]",1,2000,2000,2,12,33320,2,1,0,2,5612.0,6,1.0,6,0,0
16,7,2,"[2, 1]",1,2000,2000,2,12,33893,2,1,0,2,3846.0,7,1.0,7,0,0
16,8,2,"[2, 1]",1,2000,2000,2,12,29495,2,1,0,2,1109.0,8,1.0,8,0,1
16,9,1,"[2, 1]",0,8000,6000,6,4,36581,4,0,4,0,,9,1.0,1,1,0
16,10,1,"[2, 1]",1,8000,6000,6,4,48132,6,1,0,6,1759.0,10,0.0,2,0,0
16,11,1,"[2, 1]",1,8000,6000,6,4,42230,6,1,0,6,1267.0,11,1.0,3,0,0
16,12,1,"[2, 1]",0,8000,6000,6,4,34886,4,0,4,0,,12,1.0,4,0,0
16,13,1,"[2, 1]",0,8000,6000,6,4,44089,4,0,4,0,,13,0.0,5,0,0
16,14,1,"[2, 1]",0,8000,6000,6,4,38509,4,0,4,0,,14,0.0,6,0,0
16,15,1,"[2, 1]",0,8000,6000,6,4,36413,4,0,4,0,,15,0.0,7,0,0
16,16,1,"[2, 1]",0,8000,6000,6,4,42562,4,0,4,0,,16,0.0,8,0,1
17,1,2,"[2, 1]",0,2000,2000,2,12,33092,12,0,12,0,,1,,1,1,0
17,2,2,"[2, 1]",0,2000,2000,2,12,34692,12,0,12,0,,2,0.0,2,0,0
