subj_id,t,block_index,block_index_zero,batch_within_block,condition_pair,first_condition,second_condition,block_condition,block_condition_label,mode,y,batch_time_sec,correct_count,n_trials,x_reward_rate,x_effort_high,choice_rt_ms,choice_button_order,manual_left,idle_batch,snippets_hovered_count
7,11,2,1,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,19.858200000286104,2,4,6.0428437621874656,0,3824.400000095367,ai|manual,False,False,
7,12,2,1,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,59.59869999980926,3,4,3.0202001050455136,0,679.5,ai|manual,False,False,
7,13,2,1,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,30.937099999666213,1,4,1.939419014731418,0,1751.7000000476835,ai|manual,False,False,
7,14,2,1,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,66.11760000014306,4,4,3.629895821982055,0,783.8999998569489,ai|manual,False,False,
7,15,2,1,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,55.100799999952315,2,4,2.177826819213221,0,1231.5999999046326,ai|manual,False,False,
7,16,2,1,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,13.356400000333783,4,4,17.968913778712995,0,703.6000001430511,ai|manual,False,False,
8,1,1,0,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,56.167,2,4,2.1364858368793063,0,2608.199999809265,manual|ai,True,False,
8,2,1,0,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,59.9477999997139,4,4,4.0034830302554125,1,1077.5999999046326,manual|ai,True,False,24.0
8,3,1,0,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,32.09119999933243,3,4,5.609014309335406,0,574.0999999046326,manual|ai,True,False,
8,4,1,0,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,43.06459999990463,4,4,5.57302285405023,0,749.3999996185303,manual|ai,True,False,
8,5,1,0,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,39.0525,3,4,4.609179950067217,0,602.1999998092651,manual|ai,True,False,
8,6,1,0,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,28.02909999895096,3,4,6.42189724274903,0,540.2000002861023,manual|ai,True,False,
8,7,1,0,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,33.1597999997139,4,4,7.237679358804056,0,556.0,manual|ai,True,False,
8,8,1,0,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,36.18130000019074,3,4,4.974945621054276,0,724.1000003814697,manual|ai,True,False,
8,9,2,1,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,94.2865,3,4,1.9090750001325745,1,1597.9000000953674,manual|ai,True,False,25.0
8,10,2,1,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,46.94,2,4,2.556455048998722,0,704.3000001907349,manual|ai,True,False,
8,11,2,1,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,44.9445,3,4,4.004939425291193,0,672.1999998092651,manual|ai,True,False,
8,12,2,1,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,29.80959999990463,3,4,6.03832322475229,0,721.7999997138977,manual|ai,True,False,
8,13,2,1,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,33.674,2,4,3.5635802102512324,0,753.0999999046326,manual|ai,True,False,
8,14,2,1,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,75.9205,4,4,3.161201520011064,1,688.3000001907349,manual|ai,True,False,22.0
